"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud107",,,,"User:","gsd"
"Cmdline:","dstat --time --cpu --mem --net --disk --swap --output /mnt/nvme/tracing_data/sysdig/dstat.csv",,,,"Date:","31 May 2023 15:02:49 WEST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"swap",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","used","free"
31-05 15:07:49,25.564,73.935,0.501,0,0,1710346240,13257039872,39649280,1404837888,43558,3287417,0,0,43384832,984215552,
31-05 15:07:50,27.318,70.426,0.752,1.504,0,1710555136,13254025216,39776256,1407516672,53435,3286157,0,31145984,43384832,984215552,
31-05 15:07:51,28.392,70.854,0.754,0,0,1711517696,13256605696,39776256,1403981824,56573,4436152,0,5988352,43384832,984215552,
31-05 15:07:52,25.436,73.566,0.998,0,0,1709916160,13253783552,39776256,1408405504,47824,3291666,0,0,43384832,984215552,
31-05 15:07:53,22.055,77.694,0.251,0,0,1710166016,13249851392,39776256,1412087808,39238,2628984,0,0,43384832,984215552,
31-05 15:07:54,27.638,71.859,0.503,0,0,1711636480,13252558848,39776256,1407909888,31165,2135974,0,0,43384832,984215552,
31-05 15:07:55,28.571,68.672,1.253,1.504,0,1711550464,13254545408,39903232,1405882368,48220,3450020,0,31113216,43384832,984215552,
31-05 15:07:56,29.899,69.347,0.754,0,0,1709871104,13255057408,39903232,1407049728,48822,3778912,0,12288,43384832,984215552,
31-05 15:07:57,27.930,70.823,1.247,0,0,1710145536,13254508544,39903232,1407324160,57296,3780481,0,0,43384832,984215552,
31-05 15:07:58,23.797,74.937,1.266,0,0,1709400064,13252034560,39903232,1410543616,47694,3450331,0,0,43384832,984215552,
31-05 15:07:59,29.250,69.750,1,0,0,1710301184,13252960256,39903232,1408716800,50029,4106766,4096,0,43384832,984215552,
31-05 15:08:00,30.402,66.583,0.754,2.261,0,1710768128,13254074368,40030208,1407008768,53304,4103383,0,31129600,43384832,984215552,
31-05 15:08:01,26.500,72.500,0.750,0.250,0,1711214592,13252374528,40038400,1408253952,49730,3603539,0,200704,43384832,984215552,
31-05 15:08:02,30.730,68.514,0.756,0,0,1711874048,13255307264,40038400,1404661760,60364,4432212,0,0,43384832,984215552,
31-05 15:08:03,27.569,71.429,1.003,0,0,1709666304,13253668864,40038400,1408507904,48427,3943191,0,0,43384832,984215552,
31-05 15:08:04,26.131,73.116,0.754,0,0,1710264320,13256343552,40038400,1405235200,50112,3614848,0,0,43384832,984215552,
31-05 15:08:05,28.283,67.424,1.768,2.525,0,1710313472,13253775360,40165376,1407627264,61733,4599838,0,31129600,43384832,984215552,
31-05 15:08:06,27.930,71.322,0.748,0,0,1710292992,13254123520,40165376,1407299584,50184,3943331,0,1691648,43384832,984215552,
31-05 15:08:07,29.146,69.849,1.005,0,0,1709912064,13255016448,40165376,1406787584,55006,4437099,0,0,43384832,984215552,
31-05 15:08:08,29.323,69.424,1.253,0,0,1709228032,13255716864,40165376,1406771200,55126,4271732,0,0,43384832,984215552,
31-05 15:08:09,26.131,73.116,0.754,0,0,1710186496,13255315456,40165376,1406214144,47896,2956875,0,0,43384832,984215552,
31-05 15:08:10,23.116,73.869,1.759,1.256,0,1711058944,13253484544,40292352,1407045632,49211,3449836,0,31145984,43384832,984215552,
31-05 15:08:11,31.328,67.669,1.003,0,0,1710788608,13253267456,40292352,1407533056,56781,4587375,0,0,43384832,984215552,
31-05 15:08:12,29.323,69.925,0.752,0,0,1710964736,13254656000,40292352,1405968384,54670,4105415,0,0,43384832,984215552,
31-05 15:08:13,34.586,64.662,0.752,0,0,1710583808,13257437184,40292352,1403568128,55896,4271176,0,0,43384832,984215552,
31-05 15:08:14,28.321,70.677,1.003,0,0,1710391296,13256351744,40292352,1404846080,56582,4108411,0,0,43384832,984215552,
31-05 15:08:15,33.584,63.659,1.003,1.754,0,1711988736,13255802880,40419328,1403670528,53994,4434911,0,31129600,43384832,984215552,
31-05 15:08:16,25.564,73.434,1.003,0,0,1710751744,13255327744,40419328,1405382656,50487,3614044,0,4096,43384832,984215552,
31-05 15:08:17,29.323,70.175,0.501,0,0,1710465024,13252386816,40419328,1408610304,54480,4271290,0,0,43384832,984215552,
31-05 15:08:18,26.952,72.040,1.008,0,0,1710477312,13253074944,40419328,1407909888,47626,3778467,0,0,43384832,984215552,
31-05 15:08:19,27.569,71.429,1.003,0,0,1711460352,13253033984,40419328,1406967808,59207,4272088,0,0,43384832,984215552,
31-05 15:08:20,27.318,69.173,1.003,2.506,0,1710374912,13254037504,40546304,1406922752,48653,3614066,0,31133696,43384832,984215552,
31-05 15:08:21,28.822,70.677,0.501,0,0,1710673920,13255454720,40546304,1405206528,61735,4600103,0,0,43384832,984215552,
31-05 15:08:22,27.387,72.111,0.503,0,0,1710206976,13254733824,40546304,1406394368,49224,3620323,0,0,43384832,984215552,
31-05 15:08:23,28.321,70.927,0.752,0,0,1710678016,13253488640,40546304,1407168512,52090,3779525,0,0,43384832,984215552,
31-05 15:08:24,28.392,70.854,0.754,0,0,1711288320,13254479872,40546304,1405566976,49119,3936689,0,0,43384832,984215552,
31-05 15:08:25,26.933,69.077,1.496,2.494,0,1711448064,13254402048,40673280,1405358080,48380,3603240,0,31133696,43384832,984215552,
31-05 15:08:26,28.250,70.750,1,0,0,1710649344,13256253440,40673280,1404305408,52525,3771737,0,0,43384832,984215552,
31-05 15:08:27,24.561,74.687,0.752,0,0,1710538752,13254639616,40673280,1406029824,41876,3120269,0,1609728,43384832,984215552,
31-05 15:08:28,24.121,75.126,0.754,0,0,1708716032,13251661824,40673280,1410830336,37784,2792938,0,0,43384832,984215552,
31-05 15:08:29,29.798,69.192,1.010,0,0,1708433408,13250584576,40673280,1412190208,53928,3779171,0,0,43384832,984215552,
31-05 15:08:30,28.894,68.090,1.256,1.759,0,1710297088,13251235840,40800256,1409548288,57158,4108458,0,31137792,43384832,984215552,
31-05 15:08:31,27.318,71.178,1.504,0,0,1711046656,13255397376,40800256,1404637184,51355,4108874,0,0,43384832,984215552,
31-05 15:08:32,32.080,67.168,0.752,0,0,1711038464,13254451200,40800256,1405591552,55125,3947135,0,8192,43384832,984215552,
31-05 15:08:33,31.910,67.839,0.251,0,0,1711579136,13254819840,40800256,1404682240,52928,3943262,0,0,43384832,984215552,
31-05 15:08:34,22.693,76.559,0.748,0,0,1712181248,13254967296,40800256,1403932672,43774,3287293,0,0,43384832,984215552,
31-05 15:08:35,30.075,66.917,1.003,2.005,0,1710120960,13256232960,40935424,1404592128,55221,4271797,0,31145984,43384832,984215552,
31-05 15:08:36,26.817,72.682,0.501,0,0,1711251456,13255888896,40935424,1403805696,53069,3778095,0,0,43384832,984215552,
31-05 15:08:37,29.574,69.674,0.752,0,0,1710743552,13255819264,40935424,1404383232,50301,4107042,0,1691648,43384832,984215552,
31-05 15:08:38,29.073,70.426,0.501,0,0,1711214592,13256683520,40935424,1403047936,54157,4258987,0,0,43384832,984215552,
31-05 15:08:39,28.967,69.773,1.259,0,0,1710133248,13253582848,40935424,1407229952,60079,4757100,0,0,43384832,984215552,
31-05 15:08:40,28.500,68,1.250,2.250,0,1712218112,13251182592,41062400,1407418368,51861,4106774,0,31150080,43384832,984215552,
31-05 15:08:41,27.820,70.677,1.504,0,0,1711300608,13251584000,41062400,1407934464,54047,4107880,0,0,43384832,984215552,
31-05 15:08:42,29.397,69.598,1.005,0,0,1710915584,13256069120,41062400,1403834368,53148,3783404,0,0,43384832,984215552,
31-05 15:08:43,29.219,70.277,0.504,0,0,1708171264,13255094272,41062400,1407553536,51566,3944171,0,0,43384832,984215552,
31-05 15:08:44,28.500,70.750,0.750,0,0,1709649920,13254254592,41062400,1406914560,47874,3614674,0,0,43384832,984215552,
31-05 15:08:45,27.136,69.849,1.005,2.010,0,1709318144,13255307264,41189376,1406066688,50205,3450581,0,31141888,43384832,984215552,
31-05 15:08:46,26.884,71.859,1.256,0,0,1709207552,13254959104,41189376,1406525440,48575,3449539,0,0,43384832,984215552,
31-05 15:08:47,27.136,72.111,0.754,0,0,1709203456,13252100096,41189376,1409388544,54708,3944500,0,0,43384832,984215552,
31-05 15:08:48,27.930,70.823,1.247,0,0,1709154304,13254725632,41189376,1406812160,53453,4110951,0,0,43384832,984215552,
31-05 15:08:49,29.323,70.426,0.251,0,0,1709649920,13255270400,41189376,1405771776,57773,4436654,0,0,43384832,984215552,
31-05 15:08:50,29.471,67.003,1.511,2.015,0,1710657536,13253730304,41316352,1406177280,54747,4108590,0,31133696,43384832,984215552,
31-05 15:08:51,29.146,70.101,0.754,0,0,1709047808,13255159808,41316352,1406357504,57690,4272249,0,0,43384832,984215552,
31-05 15:08:52,25.377,73.869,0.754,0,0,1708933120,13254242304,41316352,1407389696,47870,3127307,0,0,43384832,984215552,
31-05 15:08:53,28.750,70.500,0.750,0,0,1709137920,13256175616,41316352,1405251584,51771,4421676,0,0,43384832,984215552,
31-05 15:08:54,28.571,70.677,0.752,0,0,1708965888,13255155712,41316352,1406443520,55628,4095948,0,0,43384832,984215552,
31-05 15:08:55,27.569,69.173,1.003,2.256,0,1709682688,13254688768,41443328,1406066688,58853,4107544,0,31137792,43384832,984215552,
31-05 15:08:56,28.967,70.025,1.008,0,0,1709948928,13255577600,41443328,1404911616,56528,4272144,0,0,43384832,984215552,
31-05 15:08:57,29,70,1,0,0,1709068288,13253599232,41443328,1407770624,53116,4269868,0,0,43384832,984215552,
31-05 15:08:58,28.212,71.033,0.756,0,0,1710403584,13252976640,41443328,1407057920,47393,3617369,0,0,43384832,984215552,
31-05 15:08:59,24.372,75.126,0.503,0,0,1710743552,13254602752,41443328,1405091840,39511,3122867,0,0,43384832,984215552,
31-05 15:09:00,26.884,70.101,0.754,2.261,0,1709854720,13252517888,41570304,1407938560,45850,3121495,0,31129600,43384832,984215552,
31-05 15:09:01,27.318,71.679,1.003,0,0,1709731840,13254377472,41570304,1406201856,59317,4108504,0,0,43384832,984215552,
31-05 15:09:02,27.638,71.859,0.503,0,0,1709867008,13250826240,41570304,1409617920,51476,3943894,0,0,43384832,984215552,
31-05 15:09:03,26.500,73,0.500,0,0,1709965312,13252374528,41570304,1407971328,43214,3291527,0,663552,43384832,984215552,
31-05 15:09:04,24.121,75.377,0.503,0,0,1709883392,13251739648,41570304,1408688128,40911,2957912,0,0,43384832,984215552,
31-05 15:09:05,26.650,70.812,0.761,1.777,0,1710907392,13254995968,41697280,1404280832,53392,3780619,0,31141888,43384832,984215552,
31-05 15:09:06,27.250,72.500,0.250,0,0,1709518848,13256593408,41697280,1404071936,52911,3944026,0,0,43384832,984215552,
31-05 15:09:07,26.065,73.183,0.752,0,0,1709223936,13254975488,41697280,1405984768,45304,3121309,0,0,43384832,984215552,
31-05 15:09:08,27.204,71.788,1.008,0,0,1708519424,13253627904,41705472,1408028672,47190,3602088,0,1712128,43384832,984215552,
31-05 15:09:09,27.638,71.608,0.754,0,0,1709170688,13255385088,41705472,1405620224,45966,3603257,0,0,43384832,984215552,
31-05 15:09:10,34.509,62.217,1.259,2.015,0,1710276608,13253353472,41832448,1406418944,41765,3284764,0,31137792,43384832,984215552,
31-05 15:09:11,31.579,67.920,0.501,0,0,1709662208,13254381568,41832448,1406005248,49936,3615987,0,0,43384832,984215552,
31-05 15:09:12,35.840,63.910,0.251,0,0,1709756416,13255753728,41832448,1404538880,55306,4104058,0,0,43384832,984215552,
31-05 15:09:13,39.850,59.148,1.003,0,0,1710841856,13256572928,41832448,1402634240,49029,3446046,0,0,43384832,984215552,
31-05 15:09:14,29.250,69.750,1,0,0,1709981696,13256847360,41832448,1403219968,55554,3943151,0,0,43384832,984215552,
31-05 15:09:15,33.333,63.158,1.003,2.506,0,1710227456,13254692864,41959424,1405001728,53150,4271428,0,31129600,43384832,984215552,
31-05 15:09:16,42.643,57.107,0.249,0,0,1710157824,13254356992,41959424,1405407232,48280,3778560,0,0,43384832,984215552,
31-05 15:09:17,27.569,72.180,0.251,0,0,1710706688,13255630848,41959424,1403584512,47160,3614166,0,0,43384832,984215552,
31-05 15:09:18,29.574,69.925,0.501,0,0,1709654016,13252366336,41959424,1407901696,55720,4271418,0,0,43384832,984215552,
31-05 15:09:19,32.663,66.080,1.256,0,0,1710567424,13252489216,41959424,1406865408,52731,3779794,0,0,43384832,984215552,
31-05 15:09:20,26.633,70.603,1.005,1.759,0,1711468544,13249339392,42086400,1408987136,38170,2956228,0,31109120,43384832,984215552,
31-05 15:09:21,28.643,70.854,0.503,0,0,1710084096,13248708608,42086400,1411002368,44406,3286593,0,0,43384832,984215552,
31-05 15:09:22,41.353,58.145,0.501,0,0,1710514176,13251977216,42086400,1407303680,51891,3780970,4096,0,43384832,984215552,
31-05 15:09:23,26.566,72.431,1.003,0,0,1710501888,13252558848,42086400,1406734336,48317,3620154,0,0,43384832,984215552,
31-05 15:09:24,34.250,65.250,0.500,0,0,1711833088,13254328320,42086400,1403633664,54450,4106804,0,0,43384832,984215552,
31-05 15:09:25,29.975,66.499,1.259,2.267,0,1710387200,13252722688,42213376,1406558208,54608,4436191,0,31129600,43384832,984215552,
31-05 15:09:26,28.321,70.927,0.752,0,0,1710460928,13252648960,42213376,1406558208,56823,4262632,0,0,43384832,984215552,
31-05 15:09:27,39.250,60.500,0.250,0,0,1711894528,13255024640,42213376,1402748928,54777,3607630,0,0,43384832,984215552,
31-05 15:09:28,26.566,72.431,1.003,0,0,1710399488,13254914048,42213376,1404354560,51080,4271804,0,0,43384832,984215552,
31-05 15:09:29,24.500,75,0.500,0,0,1709527040,13252100096,42213376,1408040960,52066,3451013,0,0,43384832,984215552,
31-05 15:09:30,26.884,69.598,1.256,2.261,0,1711472640,13249400832,42340352,1408667648,56292,4436836,0,31137792,43384832,984215552,
31-05 15:09:31,25.628,72.864,1.508,0,0,1710587904,13252816896,42340352,1406136320,50457,3624703,0,0,43384832,984215552,
31-05 15:09:32,29.648,69.598,0.754,0,0,1711575040,13251837952,42340352,1406128128,49341,3778885,0,0,43384832,984215552,
31-05 15:09:33,30.250,68.750,1,0,0,1710690304,13253017600,42340352,1405833216,50067,3785368,0,0,43384832,984215552,
31-05 15:09:34,24.242,74.747,1.010,0,0,1710112768,13249921024,42340352,1409507328,48687,3285186,0,0,43384832,984215552,
31-05 15:09:35,29.177,66.833,1.247,2.743,0,1710882816,13250899968,42467328,1407631360,55021,4107892,0,31137792,43384832,984215552,
31-05 15:09:36,26.196,73.300,0.504,0,0,1711235072,13250301952,42467328,1407868928,47371,3611847,0,0,43384832,984215552,
31-05 15:09:37,27.569,71.679,0.752,0,0,1709973504,13250052096,42467328,1409380352,57081,3766904,0,0,43384832,984215552,
31-05 15:09:38,25.189,73.804,1.008,0,0,1710727168,13247889408,42467328,1410789376,50129,3937115,0,1925120,43384832,984215552,
31-05 15:09:39,27.930,71.072,0.998,0,0,1711742976,13249110016,42467328,1408552960,58898,4271902,0,8192,43384832,984215552,
31-05 15:09:40,26.700,71.788,0.756,0.756,0,1711599616,13251239936,42594304,1406439424,54174,3943219,0,31125504,43384832,984215552,
31-05 15:09:41,21.357,78.392,0.251,0,0,1710665728,13252272128,42594304,1406332928,41812,3450217,0,0,43384832,984215552,
31-05 15:09:42,24.812,74.185,1.003,0,0,1711493120,13250199552,42602496,1407569920,47288,3286036,0,12288,43384832,984215552,
31-05 15:09:43,27.750,71,1.250,0,0,1711878144,13249503232,42602496,1407881216,49599,3948717,0,0,43384832,984215552,
31-05 15:09:44,28.894,70.603,0.503,0,0,1711226880,13251559424,42602496,1406476288,56090,3943793,0,0,43384832,984215552,
31-05 15:09:45,28.643,67.839,1.256,2.261,0,1710596096,13252194304,42729472,1406345216,54973,4600649,0,31145984,43384832,984215552,
31-05 15:09:46,24.938,74.564,0.499,0,0,1710567424,13252227072,42729472,1406324736,46858,2957721,0,0,43384832,984215552,
31-05 15:09:47,27.273,72.475,0.253,0,0,1710600192,13254885376,42729472,1403633664,53130,4433112,0,0,43384832,984215552,
31-05 15:09:48,25.750,73.500,0.750,0,0,1710657536,13254836224,42729472,1403625472,50132,3779698,0,0,43384832,984215552,
31-05 15:09:49,29,70,1,0,0,1710309376,13252972544,42729472,1405837312,60966,4598968,0,0,43384832,984215552,
31-05 15:09:50,27.387,69.095,1.508,2.010,0,1711284224,13252677632,42856448,1405030400,55992,4436311,0,31145984,43384832,984215552,
31-05 15:09:51,29.397,70.101,0.503,0,0,1711284224,13252673536,42856448,1405022208,58925,4436267,0,0,43384832,984215552,
31-05 15:09:52,26.065,73.434,0.501,0,0,1712128000,13252407296,42856448,1404444672,50333,3779572,0,0,43384832,984215552,
31-05 15:09:53,27.204,72.292,0.504,0,0,1712209920,13250453504,42856448,1406316544,51038,3619508,0,0,43384832,984215552,
31-05 15:09:54,28.500,70.250,1.250,0,0,1711423488,13251051520,42856448,1406504960,53555,4107613,0,0,43384832,984215552,
31-05 15:09:55,27.136,70.854,0.503,1.508,0,1712078848,13251485696,42983424,1405288448,46296,3439489,0,31137792,43384832,984215552,
31-05 15:09:56,29.825,69.424,0.752,0,0,1710882816,13251842048,42983424,1406115840,52756,3932228,0,0,43384832,984215552,
31-05 15:09:57,28.643,70.603,0.754,0,0,1710690304,13250863104,42983424,1407287296,53136,4107285,0,0,43384832,984215552,
31-05 15:09:58,28.180,71.072,0.748,0,0,1710923776,13252382720,42983424,1405534208,55825,4107980,0,0,43384832,984215552,
31-05 15:09:59,31.328,68.170,0.501,0,0,1711484928,13251432448,42983424,1405923328,45589,3286331,0,0,43384832,984215552,
31-05 15:10:00,26.866,69.900,1.741,1.493,0,1711403008,13249634304,43110400,1407676416,49507,3779530,0,31125504,43384832,984215552,
