#readfromrb
1659637178 45136
1659637179 107
1659637180 59338
1659637181 49254
1659637183 27403
1659637184 28228
1659637185 10604
1659637186 19002
1659637187 15251
1659637188 24392
1659637189 22136
1659637190 14603
1659637191 16535
1659637192 15493
1659637193 21493
1659637194 25714
1659637195 15909
1659637196 24747
1659637197 19700
1659637198 21481
1659637199 21030
1659637200 23808
1659637201 16734
1659637202 30789
1659637203 15902
1659637204 18626
1659637205 25425
1659637206 19608
1659637207 21119
1659637208 15808
1659637209 10760
1659637210 15977
1659637211 21163
1659637212 29589
1659637213 21994
1659637214 24765
1659637215 6634
1659637216 15965
1659637217 24064
1659637218 31755
1659637219 24030
1659637220 15965
1659637221 31964
1659637222 6131
1659637223 25847
1659637224 15990
1659637225 20825
1659637226 27116
1659637227 15983
1659637228 15994
1659637229 18950
1659637230 29011
1659637231 15994
1659637232 20831
1659637233 27141
1659637234 15999
1659637235 20404
1659637236 27570
1659637237 15990
1659637238 15989
1659637239 15992
1659637240 15998
1659637241 1249
1659637242 26696
1659637243 36035
1659637244 15995
1659637245 3821
1659637246 29930
1659637247 34415
1659637248 11818
1659637249 13347
1659637250 18648
1659637251 33738
1659637252 30231
1659637253 3832
1659637254 35003
1659637255 18376
1659637256 31733
1659637257 11296
1659637258 27732
1659637259 24919
1659637260 25611
1659637261 25338
1659637262 24114
1659637263 18498
1659637264 25498
1659637265 21686
1659637266 26280
1659637267 19140
1659637268 22678
1659637269 15978
1659637270 26819
1659637271 5179
1659637272 20904
1659637273 39891
1659637274 9619
1659637275 27555
1659637276 30013
1659637277 13
1659637278 22430
1659637279 41472
1659637280 16077
1659637281 29732
1659637282 18554
1659637283 24084
1659637284 23600
1659637285 20036
1659637286 27945
1659637287 20555
1659637288 27433
1659637289 15997
1659637290 31799
1659637291 15786
1659637292 20499
1659637293 18664
1659637294 25223
1659637295 15998
1659637296 22259
1659637297 25732
1659637298 16856
1659637299 15437
1659637300 15996
1659637301 23891
1659637302 33441
1659637303 7623
1659637304 18697
1659637305 35432
1659637306 25840
1659637307 10071
1659637308 22485
1659637309 39368
1659637310 24046
1659637311 22195
1659637312 25790
1659637313 15997
1659637314 23134
1659637315 24848
1659637316 26735
1659637317 21259
1659637318 22867
1659637319 25115
1659637320 19267
1659637321 25577
1659637322 22501
1659637323 26805
1659637324 23484
1659637325 22519
1659637326 19792
1659637327 23437
1659637328 9044
1659637329 15996
1659637330 23801
1659637331 25899
1659637332 22955
1659637333 25030
1659637334 17840
1659637335 30146
1659637336 18088
1659637337 29897
1659637338 16000
1659637339 31989
1659637340 16000
1659637341 15995
1659637342 31990
1659637343 3396
1659637344 28607
1659637345 16277
1659637346 31698
1659637347 15991
1659637348 31992
1659637349 16929
1659637350 31051
1659637351 18733
1659637352 29254
1659637353 17309
1659637354 30674
1659637355 17015
1659637356 29489
1659637357 17471
1659637358 15985
1659637359 28527
1659637360 3477
1659637361 22746
1659637362 25253
1659637363 26316
1659637364 15992
1659637365 19324
1659637366 28659
1659637367 3363
1659637368 29637
1659637369 35645
1659637370 28340
1659637371 15993
1659637372 32000
1659637373 15996
1659637374 27528
1659637375 10154
1659637376 28586
1659637377 24875
1659637378 20829
1659637379 24218
1659637380 23764
1659637381 15992
1659637382 28556
1659637383 19432
1659637384 22069
1659637385 25916
1659637386 20415
1659637387 27557
1659637388 22955
1659637389 9042
1659637390 15991
1659637391 23153
1659637392 24854
1659637393 15696
1659637394 31205
1659637395 3859
1659637396 22152
1659637397 19168
1659637398 18788
1659637399 30487
1659637400 17515
1659637401 26439
1659637402 21550
1659637403 25704
1659637404 22295
1659637405 27845
1659637406 20144
1659637407 30096
1659637408 17890
1659637409 24912
1659637410 23072
1659637411 25832
1659637412 22142
1659637413 29102
1659637414 18893
1659637415 21857
1659637416 26133
1659637417 19720
1659637418 28270
1659637419 16021
1659637420 15996
1659637421 31998
1659637422 16006
1659637423 42
1659637424 31277
1659637425 19180
1659637426 29933
1659637427 28462
1659637428 18889
1659637429 29093
1659637430 18470
1659637431 29510
1659637432 22342
1659637433 25634
1659637434 15996
1659637435 31999
1659637436 15993
1659637437 31989
1659637438 16917
1659637439 31063
1659637440 15998
1659637441 27492
1659637442 20486
1659637443 15987
1659637444 20793
1659637445 12824
1659637446 30388
1659637447 15987
1659637448 31991
1659637449 109
1659637450 30756
1659637451 33234
1659637452 11563
1659637453 32933
