"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud107",,,,"User:","gsd"
"Cmdline:","dstat --time --cpu --mem --net --disk --swap --output /mnt/nvme/tracing_data/sysdig/dstat.csv",,,,"Date:","31 May 2023 14:27:47 WEST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"swap",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","used","free"
31-05 14:32:48,19.500,80,0.500,0,0,1690423296,13265014784,39780352,1415970816,32639,1812028,0,0,43393024,984207360,
31-05 14:32:49,22.807,76.441,0.752,0,0,1691914240,13257519104,39780352,1421975552,38087,2635448,0,0,43393024,984207360,
31-05 14:32:50,23.559,72.932,1.754,1.754,0,1692553216,13261824000,39907328,1416904704,33519,2222223,0,31129600,43393024,984207360,
31-05 14:32:51,23.618,75.628,0.754,0,0,1693143040,13263089664,39907328,1415049216,33024,1981385,0,0,43393024,984207360,
31-05 14:32:52,22.807,76.942,0.251,0,0,1690836992,13262954496,39907328,1417490432,33697,2388222,0,0,43393024,984207360,
31-05 14:32:53,22.807,76.692,0.501,0,0,1690365952,13260410880,39907328,1420509184,33892,2223543,0,0,43393024,984207360,
31-05 14:32:54,19.549,80.201,0.251,0,0,1692332032,13256187904,39907328,1422766080,33942,1976120,0,0,43393024,984207360,
31-05 14:32:55,22.250,74.750,2,1,0,1692200960,13259370496,40034304,1419583488,34928,2470417,0,31109120,43393024,984207360,
31-05 14:32:56,21.805,77.444,0.752,0,0,1691992064,13262073856,40034304,1417089024,34508,2220208,0,0,43393024,984207360,
31-05 14:32:57,21.357,78.392,0.251,0,0,1691521024,13265485824,40034304,1414148096,31260,2051057,0,0,43393024,984207360,
31-05 14:32:58,21.303,78.195,0.501,0,0,1692614656,13267652608,40034304,1410887680,29856,2051779,0,0,43393024,984207360,
31-05 14:32:59,21.750,77.250,1,0,0,1690734592,13267206144,40034304,1413218304,38936,2544510,0,1691648,43393024,984207360,
31-05 14:33:00,22.333,73.697,1.241,2.730,0,1691115520,13268885504,40161280,1411026944,31969,1810727,0,31133696,43393024,984207360,
31-05 14:33:01,20.854,78.392,0.754,0,0,1691357184,13264551936,40161280,1415122944,31585,1898359,0,0,43393024,984207360,
31-05 14:33:02,20.603,78.643,0.754,0,0,1691435008,13265027072,40161280,1414574080,36811,2635548,0,0,43393024,984207360,
31-05 14:33:03,18.750,80.750,0.500,0,0,1691185152,13256560640,40161280,1423290368,22815,1399448,0,0,43393024,984207360,
31-05 14:33:04,22.556,77.193,0.251,0,0,1691402240,13256503296,40161280,1423130624,40025,2552739,0,0,43393024,984207360,
31-05 14:33:05,18.454,77.805,0.998,2.743,0,1690546176,13262000128,40288256,1418358784,33565,2058301,0,31100928,43393024,984207360,
31-05 14:33:06,20.802,79.198,0,0,0,1691459584,13256302592,40288256,1423142912,28556,1971250,0,0,43393024,984207360,
31-05 14:33:07,20.750,79,0.250,0,0,1691996160,13255491584,40288256,1423417344,34805,2215274,0,0,43393024,984207360,
31-05 14:33:08,21.662,77.834,0.504,0,0,1691643904,13249843200,40288256,1429417984,34352,2299620,0,0,43393024,984207360,
31-05 14:33:09,23.500,76,0.500,0,0,1691897856,13252612096,40288256,1426395136,39889,2387559,0,0,43393024,984207360,
31-05 14:33:10,20,76.250,1,2.750,0,1692155904,13256671232,40415232,1421946880,31174,2305381,0,31096832,43393024,984207360,
31-05 14:33:11,25.377,74.121,0.503,0,0,1692336128,13263450112,40415232,1414987776,40293,2558898,0,0,43393024,984207360,
31-05 14:33:12,20.200,79.302,0.499,0,0,1691807744,13263798272,40415232,1415168000,31738,2058939,0,0,43393024,984207360,
31-05 14:33:13,19.598,80.151,0.251,0,0,1691971584,13263474688,40415232,1415327744,34858,2140039,0,0,43393024,984207360,
31-05 14:33:14,20.750,78.500,0.750,0,0,1691447296,13260664832,40415232,1418661888,35721,2469790,0,0,43393024,984207360,
31-05 14:33:15,19.549,76.692,1.253,2.506,0,1692790784,13260587008,40542208,1417265152,29329,1811991,0,31379456,43393024,984207360,
31-05 14:33:16,24.060,75.439,0.501,0,0,1692225536,13263425536,40542208,1414991872,35470,2305575,0,0,43393024,984207360,
31-05 14:33:17,22.613,76.131,1.256,0,0,1690738688,13264293888,40542208,1415610368,37391,2386653,0,0,43393024,984207360,
31-05 14:33:18,20.551,79.198,0.251,0,0,1692839936,13268279296,40542208,1409523712,34106,2141572,0,0,43393024,984207360,
31-05 14:33:19,16.291,82.707,1.003,0,0,1691295744,13270536192,40542208,1408811008,23208,1317343,0,0,43393024,984207360,
31-05 14:33:20,23.559,73.183,0.752,2.506,0,1692569600,13261537280,40669184,1416409088,35099,2306023,0,31125504,43393024,984207360,
31-05 14:33:21,21.500,77.750,0.750,0,0,1691906048,13267415040,40669184,1411198976,33786,2229039,0,0,43393024,984207360,
31-05 14:33:22,22.556,76.692,0.752,0,0,1690648576,13266239488,40669184,1413636096,28843,1893743,0,0,43393024,984207360,
31-05 14:33:23,20.603,79.146,0.251,0,0,1692962816,13267922944,40669184,1409642496,29814,1976411,0,0,43393024,984207360,
31-05 14:33:24,18.045,81.454,0.501,0,0,1691238400,13271027712,40669184,1408266240,24457,1482128,0,0,43393024,984207360,
31-05 14:33:25,23.810,73.684,1.504,1.003,0,1691090944,13265510400,40796160,1413804032,35279,2306542,0,31141888,43393024,984207360,
31-05 14:33:26,19.298,80.201,0.501,0,0,1690091520,13263007744,40796160,1417314304,33694,2058387,0,0,43393024,984207360,
31-05 14:33:27,20.352,78.894,0.754,0,0,1691795456,13261643776,40796160,1416974336,27321,1975992,0,0,43393024,984207360,
31-05 14:33:28,19.192,80.303,0.505,0,0,1691185152,13262598144,40796160,1416630272,32588,2141061,0,0,43393024,984207360,
31-05 14:33:29,21.106,78.392,0.503,0,0,1690599424,13255204864,40796160,1424609280,31054,2057896,0,0,43393024,984207360,
31-05 14:33:30,22,75.750,0.500,1.750,0,1690902528,13254082560,40923136,1425297408,31493,1893089,0,32780288,43393024,984207360,
31-05 14:33:31,21.053,78.697,0.251,0,0,1690701824,13248602112,40923136,1430978560,34080,2142404,0,0,43393024,984207360,
31-05 14:33:32,25.126,73.869,1.005,0,0,1692454912,13257031680,40923136,1420795904,33513,2387895,0,0,43393024,984207360,
31-05 14:33:33,22,77.750,0.250,0,0,1691938816,13258444800,40923136,1419898880,34730,2305944,0,0,43393024,984207360,
31-05 14:33:34,20.802,78.947,0.251,0,0,1690193920,13265289216,40923136,1414799360,35575,2058616,0,0,43393024,984207360,
31-05 14:33:35,23.441,73.566,1.247,1.746,0,1692409856,13263441920,41050112,1414299648,36593,2552337,0,31096832,43393024,984207360,
31-05 14:33:36,19.298,80.451,0.251,0,0,1691357184,13261754368,41058304,1417035776,30722,1728744,0,32768,43393024,984207360,
31-05 14:33:37,24.121,74.623,1.256,0,0,1691488256,13262077952,41058304,1416581120,34951,2552361,0,0,43393024,984207360,
31-05 14:33:38,25.564,74.185,0.251,0,0,1690251264,13265182720,41058304,1414717440,35593,2387931,0,0,43393024,984207360,
31-05 14:33:39,22.195,77.556,0.249,0,0,1692393472,13259689984,41058304,1418067968,31441,2058779,0,0,43393024,984207360,
31-05 14:33:40,38.500,59.500,0.500,1.500,0,1694203904,13267750912,41185280,1408061440,33805,2140091,0,31109120,43393024,984207360,
31-05 14:33:41,26.683,72.319,0.998,0,0,1694244864,13269831680,41185280,1405939712,33677,2312029,0,12288,43393024,984207360,
31-05 14:33:42,24.060,75.439,0.501,0,0,1693474816,13270110208,41185280,1406435328,28429,1811407,0,0,43393024,984207360,
